tweet_id,text,airline_sentiment
569982307634794497,flight dal to dca pm tried to check in could not status please,average
569976620158578688,heyyyy guyyyys been trying to get through for an hour can someone call me please,worse
569973821396152323,hi virgin i m on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm,negative
569972508499283968,congrats on winning the award for best deals from an airline us,good
569967019958730753,everything was fine until you lost my bag,worse
569961866224652288,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,average
569949891163615232,i emailed your customer service team let me know if you need the tracking number,average
569948966873370625,hi i just booked a flight but need to add baggage how can i do this,average
569946362126602240,your airline is awesome but your lax loft needs to step up its game for dirty tables and floors,negative
569942903683813376,not worried it s been a great ride in a new plane with great crew all airlines should be like this,good
569941957490774016,awesome i flew yall sat morning any way we can correct my bill,good
569940834994401280,or watch some of the best student films in the country at feet cmfat feet,average
569940323746516993,first time flying you all do you have a different rate policy for media bags thanks,average
569935232033366017,what is going on with customer service is there anyway to speak to a human asap thank you,worse
569934395865493504,what happened to doom,average
569933816963342337,why can t you supp the biz traveler like and have customer service like neverflyvirginforbusiness,worse
569933777931145216,i ve applied more then once to be a member of the inflight crew team im interested flightattendant dreampath g,good
569933405506310144,you re the best whenever i begrudgingly use any other airline i m delayed and late flight,negative
569933360564342784,i have no interesting flying with you after this i will cancelled flight my next four flights i planned neverflyvirginforbusiness,worse
569929243146088448,it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin,worse
569926998824394752,i m having trouble adding this flight my wife booked to my elevate account help,worse
569923394990419968,can t bring up my reservation online using flight booking problems code,average
569922008588222465,random q what s the distribution of elevate avatars i bet that kitty has a disproportionate share,average
569920824905306113,i lt flying va but life happens and i am trying to change my trip jperhi can you help va home page will not let me,average
569919041244147712,why is the site down when will it be back up,negative
569915941192015872,you down with rnp yeah you know me,average
569913339427434496,hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,average
569911816937033728,i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday,worse
569911674158731264,just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin,worse
569911218942517248,why is flight redirected,average
569910981868060673,is it me or is your website down btw your new website isn t a great user experience time for another redesign,negative
569909224521641984,i can t check in or add a bag your website isn t working i ve tried both desktop and mobile,negative
569907336485019648,let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,negative
569896805611089920,what is your phone number i can t find who to call about a flight reservation,negative
569894449620369408,is anyone doing anything there today website is useless and no one is answering the phone,worse
569894407001939968,trying to add my boy prince to my ressie sf this thursday from lax,average
569892199690678272,why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfo lax,negative
569891469210755074,check out new music,average
569891436100874241,how s a direct flight fll gt sfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight sneaky,negative
569887310713479168,your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,negative
569887049446076416,amazing customer service again raeann in sf she s the best customerservice virginamerica flying,good
569884551712886785,called your service line and was hung up on this is awesome sarcasm,worse
569884407852437504,your site is tripping i m trying to check in and i m getting the plain text version i am reluctant to enter any card info,negative
569881548515708928,i was scheduled for sfo dal flight today changed to th due weather looks like flight still on,average
569873669700358144,has getaway deals through may from one way lots of cool cities cheapflights farecompare,good
569873668131717120,has getaway deals through may from one way lots of cool cities cheapflights farecompare,average
569873665640292353,has getaway deals through may from one way lots of cool cities cheapflights farecompare,good
569873664612704256,has getaway deals through may from one way lots of cool cities cheapflights farecompare,average
569872058613673984,have a great week,good
569861209781989377,come back to phl already we need you to take us out of this horrible cold pleasecomeback,good
569847920192655361,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,worse
569814339785338880,is the best airline i have flown on easy to change your reservation helpful representatives amp a comfortable flying experience,good
569777607371128834,and again another rep kicked butt naelah represents your team so beautifully thank you,good
569774078233419776,your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure,good
569770363623575552,love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,good
569748316776325120,use another browser amp a brand with a reputation built on tech response doesn t have a cross browser compatible website,negative
569741221783957504,and now the flight flight booking problems site is totally down folks what is the problem,negative
569737603617943552,i like the customer service but a min delay just for connecting passengers seems too long va,negative
569714127792254976,thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight,good
569675144353828864,you have the absolute best team and customer service ever every time i fly with you i m delighted thank you,good
569674358135914496,do you provide complimentary upgrades to first class if there are available seats,average
569666477265018881,i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help,negative
569652497947734017,completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time vabeatsjblue,good
569649116487290880,how can i watch the oscars on my jfk gt sfo flight,average
569643262459269120,is flight cancelled flightled and what do i do if it is,average
569642845516275712,you are failing your customers because your check in process does not link to tsa pre check,negative
569634318349246464,us too terrible airline just gave us a hotel hotline number and said sorry,worse
569633630978310145,has flight number from sfo to cabo san lucas arrived yet,average
569633279546036224,your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you,negative
569630092273410048,another delayed flight likingyoulessandless,worse
569627480425766912,i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise,worse
569625739231948800,you rock for making it so i can watch oscars on my flight redcarpet oscars oscars,good
569625609799774208,dropped a track on you,average
569620102389350401,always xoxo,good
569619569372823552,why can t we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated,worse
569618527948115968,you d think paying an extra bucks rt for luggage might afford you hiring an extra hand at lame,negative
569616490380439552,best customer service rep in the world irmafromdallas takes the cake,good
569615109363929088,can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service,average
569614365755899905,please provide status for flight i cant imagine it s on time as the web indicates dude to weather here and or dallas,negative
569614024578600960,you have amazing staff amp super helpful as i just ran the princesshalf they have spoiled me with comfort,good
569609971383586817,i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face,worse
569608328998887424,question is it not possible to book a seat for an infant under it s not giving me the option but we want a seat for him,negative
569599867716132864,always have it together you re welcome rt you re so welcome,good
569596445680115712,flight home to dc sunset globe in backtowinter back to work refreshed,good
569596097540132864,i don t understand why you need a dm to give me an answer on if you have a damaged luggage policy,negative
569594386066984960,does that mean you don t have a policy for destroyed luggage,worse
569586660909973504,is there special assistance if i travel alone w kids and infant priority boarding,average
569580805036453888,thank you for checking in tickets are purchased and customer is happy,good
569575679722786816,is your website ever coming back online,average
569575003248676864,is flight from love field to sfo definitely cancelled flightled for monday february,average
569574973662232576,is flight out of lga to dfw on time,average
569574961158815745,my drivers license is expired by a little over a month can i fly friday morning using my expired license,average
569572942381649920,having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait,negative
569572740723712001,how do i reschedule my cancelled flightled flights online the change button is greyed out,negative
569566981835218944,i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site,negative
569564853460807680,got a flight we were told for today checked my email and its for tomorrow this is unacceptable,negative
569564610837086209,our flight into lga was cancelled flighted we re stuck in dallas i called to reschedule told i could get a flight for today,worse
569562202405019650,why don t any of the pairings include red wine only white is offered redwineisbetter,worse
569541127340040192,is the website down,negative
569540405676654592,your site seems a little wonked right now may want to have a look tried on two browsers no css,negative
569494748341407744,i m disappointed that the agent at the designated silver status check in line closed to assist all pasengers,negative
569482263345307648,plans to include austin to its dallas route topnews arab emirates,average
569477692166316033,is it normal to receive no reply from central baggage baggageissues smh,worse
569461469042966528,at logan airport and waiting to checkin for my am flight checkin desk not open why,negative
569459618881019905,to jump into the dallas austin market,average
569452063920226304,beats eps views takes on southwestair va luv investor s business daily,average
569447071910105089,lister to my show my on monday,average
569429411646156800,to begin dallas austin flights in april ketr,average
569369239183872000,congrats you just got all my business from ewr to sfo lax fuck you fl sfo ewr was the clincher,negative
569368160291463168,i applied over weeks ago haven t heard back and i m flying this week disappointed,negative
569356387785900032,i d love to know what your policy is for damaged luggage,average
569354267854704641,thank you for the follow,good
569351220097216512,too many apologies you r the worse airlines don t even respond to your cudtomers,worse
569348775631675392,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,negative
569324558999691264,i dm you,average
569323106210152448,can you please have flights in sjc i have no choice but to fly southwest to vegas,average
569323082701275138,too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks,negative
569318651502989312,flight from bos gt las tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline,negative
569318130356502528,rt you ve met your match got status on another airline upgrade restr,good
569316358845911040,only way to fly elevate gold,good
569311498301870080,if only you guys had flights from cmh,average
569311060903268352,a lot of apologies being thrown out to customers from what i can see very sad thanks for nothing worst airline ever,negative
569310635986546688,for all my flight stuff wrong and did nothing about it had worst flight ever,negative
569305113589714944,having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,average
569304436612444160,you will match my americanairlines status cool,good
569304208534597632,met your match got status on another airline upgrade,average
569304030847090688,trying to book a flight with you guys and your website won t let me about to lose my business,negative
569303931916038144,you suck,worse
569298165855338497,thanks,good
569290361870426112,just dm d same issue persisting,negative
569282249717194754,because we never rec d cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,worse
569277854950817792,trying to book a flight amp your site is down,worse
569277352129138688,you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didn t do anything,negative
569263837448269826,you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better,worse
569262527281913857,i love your guy s song we re dancing to it for our high school dance revue,good
569262225900359680,your website is down and i m trying to check in,negative
569261347688607744,done thank you for the quick response apparently faster than sitting on hold,good
569261128532041728,nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,average
569260526976544768,cool picture of another virginamerica plane off our wing what a site,good
569253311813185537,keep up the great work,good
569253236093267969,my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,good
569250469178175488,thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,good
569248437050302464,can you please get me to the new york area before monday afternoon,average
569248400836726786,thanks so much for the awesome support you guys rock,good
569247769166266368,seats in row don t recline should mention that on your website soreback,negative
569247394002563072,flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink,worse
569244860286263297,why cancelled flight flights today no precipitation to be scared of,negative
569240250192670720,twitter team you guys killed it for rescheduling me asap thank you,good
569238877178716161,you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it what s the deal,negative
569237252154372097,can t access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook,negative
569236471690829825,on ipad and iphone clicking the checkin link in the email i received at hrs before flight,average
569236251129163777,your mobile site is broken shows header elevateuser numofpointsavailable number points won t let me checkin,negative
569230983075115010,i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,negative
569229785500680192,why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightled gonna email or call me to reschedule,negative
569226875349835776,i did it but there was a problem in the link from the email for check in thanks,negative
569224234150404096,had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh,negative
569223788639821824,i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one,worse
569222494952886272,when are you putting some great deals from pdx to las or from las to pdx show me your love,good
569221440794271745,wish i can afford to fly with you next friday going back home love everything about your airline,good
569221156504530944,how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,negative
569220232293720066,it s just a bug report guys,average
569218762907324416,hold times at call center are a bit much,worse
569212570478911489,like,good
569211675108179968,site down help,negative
569209566715469824,you have the best flight attendant ever,good
569208480793567233,awesome rt watch nominated films at feet meetthefleet oscars,good
569205125278859265,thanks so much,good
569204272795004928,trying to reset my password email never arrives help,negative
569202691185909760,the only airline based in silicon valley disruption fcmostinnovative incubator,good
569201943131738113,very nicely done,good
569200619430420480,i m looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,good
569200606595952640,what is the reason for the delay of the departure of vx from jfk this afternoon,negative
569198782421663745,is todays flight from palm springs ca to jfk in ny cancelled flightled,negative
569198104806699008,hahaha you guys are amazing i love you guys,good
569197967959154688,sounds like fun,good
569197611393163264,any updates on flight from jfk gt lax,average
569197515993534464,spruce moose,average
569192778468626432,the css on your site is a right now please fix site unusable,worse
569182336715243520,we re on flight vegas to boston today checked in online but our bag count didn t register can i fix that somehow,negative
569180623165915137,classiq luv virgin america greetingz,good
569179517522046977,hi i m trying to do check in but the website is not working i tried different browsers and the problem continues,negative
569176777056079874,thanks for your great customer service today amp for helping me get all my travel sorted out,good
569165709516759042,thanks guys sweet route over the rockies airplanemodewason,good
569110766235877376,love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,good
569083230361673728,the passenger in d flt that assaulted me shouldn t have flown i trust he s banned crew filed report to,negative
569028851860254720,current bug on website shows select departure city when selecting destination city,negative
569022319437357056,luggage was severely dented missing wheel coming off baggage claim in san luggage agent miranda i think wasn t any help,worse
569020707113476096,thank you for the easy itinerary shift for impending weather quick painless amp free,good
569018352464588800,if you d love to see more girls be inspired to become pilots rt our free woaw event march at abq,average
569011849976348672,thanks good times there and back vodkatonics the entire flight sfo,good
568989005162766337,beats expectations shares take off santa cruz sentinel,average
568977439398821888,any plans to start flying direct from dal to las,average
568977175149293570,big love gratitude mpower w werin oscars vipswagbags avalonhollywood,average
568972394297077760,you re doing a great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up,good
568945958970531840,requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member,negative
568945265899483136,grand budapest hotel oscarscountdown,average
568943244027006976,this is what you missed next trip to the,average
568942331921092608,wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,negative
568940002849255425,there is something wrong with you website in safari iphone,negative
568929979981033472,thanks for gate checking my baggage on your full flight dfw lax and giving me early boarding too sweet,good
568929026644975616,already checked in so the page expired x,negative
568928741298012160,boo for a not refunding a seat upgrade fee i did not want to buy in the first place,negative
568928605226426370,shares rise on q financial results usa today,average
568926018049691648,adds pillows instead of lie flat seats in first class arms race,average
568923762764095488,i see what you did there,good
568920614716600320,way to take advantage of mayweatherpacquiao,average
568920221882257408,you know i m flying virgin for the fight mayweatherpacquiao,average
568911350656675841,your inflight team makes the experience amazing,good
568910590921609216,cutest salt and pepper shaker ever just when i think you guys can t get any better you just do,good
568901823215448064,moved my seat with no notice better seat is cabin select not behind the row i selected disappointed,negative
568898405189038080,shares up on q results,average
568897315458691072,fav airline,good
568890074164809728,we have a hot female pilot sweet dca to sfo,good
568890062286385153,when are you guys going to start flying to paris you re welcome,average
568884848632279041,what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor,average
568882014415249408,already contacted central baggage amp sent dm is charging me for the dress that was in the lost suitcase help,worse
568874645564362752,thank you,good
568868127364096000,is there anything going on with the website i ve been getting a lot of errors past minutes,negative
568867068331864064,i think i left something on the plane yesterday who do i call ah,average
568865011717705730,i need you to follow back in order to dm,average
568864815654899712,need to start flying to,average
568855933360607232,they told to check with the airline regulation first so that is why i contacted you,average
568853685855334400,i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits,negative
568850967673896960,husband and i ordered three drinks via my screen and they never came awesome,negative
568850943359496192,soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence,negative
568847512372514816,what is your policy on flying after surgery,average
568845553104068609,posts second consecutive full year net profit,average
568840724700995584,funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this,negative
568840560347373569,would love to do more for virgin just like i do for,good
568838020041809920,results handily exceed forecasts,average
568837602071203840,i applied for a position in and i was wondering if you guys received my application,average
568833739192557569,achieves a second year of profitability despite revenue pressure,average
568830466830151680,gives positive outlook but sees increased competition,average
568830133626253312,i m trying to check into my am ct flight tmm on the desktop website and it s not working some sort of caching bug sos,negative
568828648687591424,weather delays gt next few weeks jfk bos dca,average
568828112626012160,check the website before you go to the airport,average
568824637267685377,do you guys know your check in links from emails are broken,worse
568823689422053376,pilot says we expect a choppy landing in nyc due to some gusty winds w a temperature of about degrees amp w the windchill,average
568815689684815873,loved it can t wait for monday s return flight mostly just to watch the inflight safety video again sorrynotsorry,good
568812046747201537,lost my luggage days ago on flight vx from lax to iad amp i m calling every day no response please give me back my stuff,worse
568811384437411840,the flight booking problems section of your website seems to be broken on chrome might wanna look into that,negative
568805696780824576,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,good
568803996774879232,i mean probably inappropriate while on board but it s on,good
568802396907835393,happy to spend the day together let s do this,good
568800805475782656,is saving my sanity right now,average
568795484283736064,missed my flight how does standby work,average
568795139512127488,they were very understanding and helped me out thx comps,good
568792520337039360,brought it all the way across the country today i see,average
568791035297468416,thank you i absolutely will,good
568790164404899840,looks like a broken link for your assets,worse
568781819233091584,are you ready let s say it together noooo turbulence today,average
568775898234798081,the manage itinerary section of your website seems to be broken for me,negative
568769672922812418,can t check in your site looks like this every time it loads,negative
568735060104511488,can u help this needs urgent treatment in y old battling cancer could u help with flights freyasfund,average
568689188377403392,may start service to hawaii from sanfrancisco this year biztravel,average
568663147189415936,other carriers are less than half price for a round trip fare i am stunned,negative
568662343170674688,wtf is happening in pdx late flight march such that one way from sfo is,negative
568646087361355776,add dtw and i m sold,average
568643040073506816,how about some free drinks on the flight back for the free promo,good
568633361595412481,thanks,good
568632394929958912,momma i made it,average
568630879246901248,please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call,average
568629385105793024,help i was on flight from jkf tonight seat c left portfolio need it back,average
568626625857728513,seattle bound wifey got me the duffle for vday she s a keeper holla,average
568608718994026496,my luggage is gone i ve filed my paperwork promised a call email still no resolution or response from central luggage,worse
568607562251108352,debbie baldwin gave a rockstar performance of the safety demo this evening on vx las sfo bestcrew sherocks,average
568605449659895808,thanks,good
568604690767872000,thanks for taking care of on her flight rockstars travel,good
568602941940043776,thanks for the lovely soft views travel san to sfo,good
568595620002279424,i requested a mileage challenge for status several weeks ago online but haven t heard back how do i get help with this,negative
568585196699664384,just trying to book tickets to nyc and facing super fun broken styling don t worry i ll keep trying,negative
568579880046227457,many thanks for the follow ourprincess freyasfund usa bandie looking for any help,average
568577243200376833,nice lofty view silverstatus,average
568576829000425472,applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly,negative
568572344056180737,is my new go to airline,average
568571772251082752,can you help ourprincess in need of some help in usa,average
568553610981740544,i adore you and am so looking forward to my flight to austin in two weeks,good
568543525505089536,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,good
568541317816561664,flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica,average
568536882012749824,trying to check in but looks like your site is down,negative
568532221180534784,spending my birthday night with you dal dca get me home,negative
568526847320784896,sent a couple messages to the email you provided but to no avail will try again next year cheers,negative
568525368572817408,first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline,good
568522203198697474,seriously though will there not be direct flights from sfo fll in may,negative
568519971971538945,it s fine already done with my purchase but you should try it just go most of the way through then go back,negative
568518985056002049,not really the experience i was hoping i ws forced check in a small carry on w nothing but empty cabin space on board,negative
568517565548339200,is our luggage so slow at lax,negative
568517447847780353,to jump into the dallas austin market,average
568511755040657409,i spoke with a representative that offered no solution i am a loyal customer who flies on as well,negative
568511474580066304,i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,negative
568496820604821505,what happened to direct flights from sfo fll looking in may only see connecting help dontdothistome,negative
568495808053702656,can you help left my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo,average
568492682152189952,partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,average
568491256508231680,just promoting the product is all had a problem with southwest and recommend noneother than the best,good
568490223417602050,love you guys but pls get some direct routes las to aus,good
568483591623208961,i would like help with some flights please,average
568483491819753472,bruh turn down for what vxsafetydance,average
568481985221537792,of course i work for and i m obsessed with the entire virgin family,good
568478510538493952,ok first time flying with you tonight,good
568476562376531969,digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it,average
568472719102234624,done but i need the receipt asap could you please help,average
568469942711885825,i have d and d embossed badges and patches superior to the ones you are currently using,negative
568463892453724160,on vx from jfk to la dirty plane not up to your standards,negative
568463244035289088,on flight vx headed to la from jfk dirtiest va plane i have ever been on sad for a great airline,worse
568460512553353216,got it squared away someone picked up as soon as i tweeted should have tweeted sooner,good
568458513636134913,your avis rental continue button doesn t work on your website to book car tried times on phone this sucks,worse
568457140894969856,delayed to,worse
568456334581981184,currently in minute of being on hold with cust service do i need to do anything to add a lap child to my reservation,worse
568452676452806656,adds pillows instead of lie flat seats in first class arms race by,average
568452186977361921,of course have fun celebrating thanks happy chinese new year,good
568451468560187393,flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,good
568447216156692480,comenity bank is a joke please change nothing but constant problems with this bank,worse
568440278853525504,i just did how can i dm do u have to also add me,average
568437415603507200,for my grandma ella s th she would lt a bday greeting from your flight crew she was a stewardess for eastern airlines,good
568434482270707712,just bought tix for atx dallas route thanks for adding that love yr airline amp yr website is best transactional site ever,good
568432117539065856,anytime sugafly,average
568429677779365888,gave a credit for my late flight flight yesterday great service that s a wow moment unexpected gesture,good
568428224813916160,i need a receipt for a flight change can you send one,average
568423029371334656,i submitted a status match request a while back and still haven t heard i m flying on monday can you look accelerate,worse
568406048777900032,had me at their safety video loved my first cross country flight livewelltraveled sytycd,good
568392783922372608,that doesn t look to fat to me it looks yummy,good
568391084210036736,ceo says southwest amp jetblue have strayed from low cost model,average
568382154071089154,a brilliant brisk am in boston in cue for vx,average
568364437599436800,atlantic ploughs a lone furrow in the middleeast,average
568349321634013184,atlantic ploughs a lone furrow in the middleeast,average
568307768551026688,atlantic ploughs a lone furrow in the middleeast,average
568303606710956032,omg omg nonstop dallas to austin on virgin,good
568279994876571649,your planes are really pretty just thought u should know that,good
568265552583479296,when are you flying to hawaii,average
568259485413715969,i m pulling my hair out trying to book a flight with u your site doesn t work on iphone or ipad don t have a computer help,negative
568245360998658048,thank you,good
568240364315783168,can i get some help with a support ticket it s been days incident thank you,negative
568239036533497856,good to be home texas moodlighting,good
568218962833461248,i cannot even open my laptop in seat c and i paid a premium for this let me out of here,worse
568216286561374208,i am in seat c and i cannot even open my laptop and i paid extra for this seat,worse
568209028188233728,if only you guys were starting those flights at the end of the month guess i m still road tripping on feb,average
568204964742496256,thanks for that been needing a way to make those austin trips from dca and now you ve come through,good
568203174198284288,announced new route to austin w fares from way,average
568199730989174784,really sprint i thought you guys were kewl,average
568195292803129345,this is too cool never been on ur planes but now i will,good
568193116437483520,you should have dollar lax las fares,average
568189531033174016,great well deserved,good
568174745293709313,fyi the info email address you say to contact in password reset emails doesn t exist emails bounce,negative
568165573869199361,status match weeks have gone by and no news flt next week hope flt will count towards requirement cust svc no help,worse
568157680696729600,your website sucks donkey dicks just thought you should know all best,negative
568150150289461249,you should still develop an app then you will be my favorite airline,average
568148652352544769,all crap channels which is why i pay to watch uk tv,negative
568146157534367744,got it all set thanks,good
568144330268868608,no a s channel this year,average
568142526110019584,only thing i see on passbook is virgin mobile mexico how do i integrate,average
568140092453179394,giants and virgin america a match made in heaven,good
568140010458894338,thank goodness also see you friday nwk gt sf boom,good
568136946016522240,how come you don t have an iphone app still using and making me waste paper,worse
568132935037132800,your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail,negative
568132204712370178,when will vx use all lga slots instead of today adding aus makes this less likely,negative
568122723915862016,is helping me step up my game tindertips tinderchamp,average
568120102660341760,i luv ur people and product thing is y do u charge for herbal tea but not black tea i m not a caffeine drinker,good
568119079371997186,thank you see y all soon i m excited to see the expansion of destinations spread those wings,good
568114097142652928,announces new nonstop connecting amp intro,average
568104519633993728,adds austin dallas love field route,average
568104264733573122,sad to learn you no longer fly sfo gt phl hope it returns,negative
